Taxa	SNV	Name	Analysis4	meanG	seG	meanM	seM	target	Name_lumped	forShape
Firmicutes Blautia bed671b4676144142cebd192b690f499	bed671b4676144142cebd192b690f499	Firmicutes Blautia	Neg_Stool	0.453901170968956	0.0888765189210323	0.790122789691113	0.074703882946055	IgM+	Firmicutes Blautia	IgM+.Neg_Stool
Firmicutes Blautia c6c3ab4e828fb40d6e05967b7aac9338	c6c3ab4e828fb40d6e05967b7aac9338	Firmicutes Blautia	Pos_Stool	0.652543780214842	0.0774993125255837	0.825674562957314	0.0545936337643535	IgM+	Firmicutes Blautia	IgM+.Pos_Stool
Firmicutes Blautia c6c3ab4e828fb40d6e05967b7aac9338	c6c3ab4e828fb40d6e05967b7aac9338	Firmicutes Blautia	Neg_Stool	0.436197596941524	0.102105825315381	0.776644405794013	0.0725660117900166	IgM+	Firmicutes Blautia	IgM+.Neg_Stool
Firmicutes Butyricicoccus a18c0c17fce3d52dc60506e8730bc996	a18c0c17fce3d52dc60506e8730bc996	Firmicutes Butyricicoccus	Pos_Stool	0.250309207196274	0.06462234459306	0.650687573270677	0.0711933459899062	IgM+	Other	IgM+.Pos_Stool
Firmicutes Butyricicoccus a18c0c17fce3d52dc60506e8730bc996	a18c0c17fce3d52dc60506e8730bc996	Firmicutes Butyricicoccus	Neg_Stool	0.46141201317048	0.089412908080772	0.672358360313872	0.0904952117753845	IgM+	Other	IgM+.Neg_Stool
Firmicutes Christensenellaceae a72bc4bbcb65e31aac628de5b9a9b0af	a72bc4bbcb65e31aac628de5b9a9b0af	Firmicutes Christensenellaceae	Pos_Stool	0.486512180828912	0.0609549154499695	0.667852391746964	0.0698013108168358	IgM+	Other	IgM+.Pos_Stool
Firmicutes Christensenellaceae a72bc4bbcb65e31aac628de5b9a9b0af	a72bc4bbcb65e31aac628de5b9a9b0af	Firmicutes Christensenellaceae	Neg_Stool	0.498146586932191	0.0688467749679732	0.710113272508761	0.0510959999128149	IgM+	Other	IgM+.Neg_Stool
Firmicutes Clostridiales 0243b68c76049aa1b8c51a20333da950	0243b68c76049aa1b8c51a20333da950	Firmicutes Clostridiales	Pos_Stool	0.760410435109264	0.067552273300013	0.948159292284189	0.0204035471990232	IgM+	Other	IgM+.Pos_Stool
Firmicutes Clostridiales 0243b68c76049aa1b8c51a20333da950	0243b68c76049aa1b8c51a20333da950	Firmicutes Clostridiales	Neg_Stool	0.519867701131469	0.104191896058697	0.856346579790275	0.0555937220490441	IgM+	Other	IgM+.Neg_Stool
Firmicutes Clostridiales 1a9df3fbbc7fc8cecec4239cf801d2fc	1a9df3fbbc7fc8cecec4239cf801d2fc	Firmicutes Clostridiales	Pos_Stool	0.169806056542772	0.056462889846387	0.383691101862562	0.0693642705910578	IgM+	Other	IgM+.Pos_Stool
Firmicutes Clostridiales 1a9df3fbbc7fc8cecec4239cf801d2fc	1a9df3fbbc7fc8cecec4239cf801d2fc	Firmicutes Clostridiales	Neg_Stool	0.20442660716288	0.0530060453241936	0.427946186847073	0.0806774418795271	IgM+	Other	IgM+.Neg_Stool
Firmicutes Clostridiales b621d4b3cca1ec89ceca12efca8a94fb	b621d4b3cca1ec89ceca12efca8a94fb	Firmicutes Clostridiales	Pos_Stool	0.590104527378344	0.0885949149979023	0.906915275825744	0.0341782532905879	IgM+	Other	IgM+.Pos_Stool
Firmicutes Clostridiales b621d4b3cca1ec89ceca12efca8a94fb	b621d4b3cca1ec89ceca12efca8a94fb	Firmicutes Clostridiales	Neg_Stool	0.466853246466719	0.103672776327192	0.859477680965506	0.0549468370171693	IgM+	Other	IgM+.Neg_Stool
Firmicutes Clostridiales f0015c3b64e80303ed3d858f0618bc43	f0015c3b64e80303ed3d858f0618bc43	Firmicutes Clostridiales	Pos_Stool	0.451018228734175	0.052434202627451	0.608023609020659	0.0495600647494176	IgM+	Other	IgM+.Pos_Stool
Firmicutes Clostridiales f0015c3b64e80303ed3d858f0618bc43	f0015c3b64e80303ed3d858f0618bc43	Firmicutes Clostridiales	Neg_Stool	0.609541139572468	0.0641394344564218	0.631455746255443	0.0508323491893123	None	Other	None.Neg_Stool
Firmicutes Clostridium 9acb555d3c5dd77e9035a661e7ad1bb6	9acb555d3c5dd77e9035a661e7ad1bb6	Firmicutes Clostridium	Pos_Stool	0.506831247442685	0.0495031359167714	0.721468158124316	0.0471138438737383	IgM+	Other	IgM+.Pos_Stool
Firmicutes Clostridium 9acb555d3c5dd77e9035a661e7ad1bb6	9acb555d3c5dd77e9035a661e7ad1bb6	Firmicutes Clostridium	Neg_Stool	0.458560961294938	0.0504393801064025	0.567900491792042	0.0451784424725473	IgM+	Other	IgM+.Neg_Stool
Firmicutes Clostridium c67445ed68d61f49e41b7bdd1de019fb	c67445ed68d61f49e41b7bdd1de019fb	Firmicutes Clostridium	Pos_Stool	0.348266487328362	0.0559634241254009	0.813141652901861	0.0479491032315493	IgM+	Other	IgM+.Pos_Stool
Firmicutes Clostridium c67445ed68d61f49e41b7bdd1de019fb	c67445ed68d61f49e41b7bdd1de019fb	Firmicutes Clostridium	Neg_Stool	0.315509526385452	0.0708737663467521	0.860104058849523	0.0399948668055168	IgM+	Other	IgM+.Neg_Stool
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	Pos_Stool	0.641397740857338	0.0791665953064516	0.828174135718683	0.0499645323011816	IgM+	Other	IgM+.Pos_Stool
