Taxa	SNV	Name	SubjectID	Analysis4	IgA-IgM-IgG-	IgM+IgA-	Mprob	IgA+IgM-	IgM+IgA+	Aprob	A_and_M_prob
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F46.1	Neg_Stool	0.556261201810456	0.443738798189544	0.443738798189544	NA	NA	NA	0.443738798189544
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F47.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F48.1	Neg_Stool	0.707832417589438	0.292167582410561	0.292167582410561	NA	NA	NA	0.292167582410561
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F49.1	Neg_Stool	0.325532113609157	0.674467886390843	0.674467886390843	NA	NA	NA	0.674467886390843
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F51.1	Neg_Stool	0.202018953336896	0.797981046663104	0.797981046663104	NA	NA	NA	0.797981046663104
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F52.1	Neg_Stool	0.105939677496028	0.894060322503972	0.894060322503972	NA	NA	NA	0.894060322503972
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F54.1	Neg_Stool	0.0529021629152474	0.947097837084753	0.947097837084753	NA	NA	NA	0.947097837084753
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F59.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F59.2	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F63.1	Neg_Stool	0.251313924712522	0.748686075287478	0.748686075287478	NA	NA	NA	0.748686075287478
